procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  1 437216 900284  88760 2532912    0 4237  6409  4405 1646 2380 17 19 63  2  0
10  4 751640 530848  88760 2533364    0 314136     0 314136  899 3826 30 50  2 19  0
 9  2 429600 600744  88760 2533656    0 155748     0 155748  859 1945 34 55  7  3  0
 4  0  73220 636224  88776 2528644    0 184492     4 184588 3681 5014 52 48  0  0  0
 5  0  73220 470812  88776 2521456    0    0     0   308 5002 4239 73 27  0  0  0
 5  0  73220 709716  88776 2526088    0    0     0    16 5435 18595 57 43  0  0  0
 5  0  73220 210968  88776 2531148    0    0     0     0 5539 19081 65 35  0  0  0
 9  0  73220 307328  88776 2532264    0    0     0     0 5469 9000 82 18  0  0  0
 7  0  73220 242980  88784 2532256    0    0     0   116 5268 10069 87 13  0  0  0
 5  0  73220 188344  88784 2532264    0    0     0   712 5029 4418 92  8  0  0  0
 4  0  73220 705580  88784 2532436    0    0     0     0 4714 3568 91 10  0  0  0
 8  0  73220 477164  88784 2530260    0    0     0     0 4823 11667 91  8  1  0  0
 4  0  73220 962108  88784 2530176    0    0     0     0 4546 3627 96  4  0  0  0
 4  0  73220 751440  88796 2530244    0    0     0   132 4375 3018 80 20  0  0  0
 5  0  73220 563420  88796 2530264    0    0     0     0 4174 2327 93  7  0  0  0
 4  0  73220 563400  88796 2530268    0    0     0  1172 4361 2142 98  2  0  0  0
 4  0  73220 574408  88796 2530268    0    0     0     0 4220 2201 91  9  0  0  0
 5  0  73220 607360  88796 2527724    0    0     0     0 4138 2140 99  1  0  0  0
 4  0  73220 1349008  88796 2527724    0    0     0     0 4203 2104 94  6  0  0  0
 4  0  73220 808804  88804 2527724    0    0     0    64 4207 2222 90 10  0  0  0
 4  0  73220 1073028  88804 2527724    0    0     0     0 4657 2985 96  4  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0  73220 797732  88804 2527724    0    0     0     0 4121 2103 97  3  0  0  0
 4  0  73220 620312  88804 2527724    0    0     0     0 4183 2205 98  2  0  0  0
 4  0  73220 620428  88804 2527724    0    0     0     0 4240 2158 97  3  0  0  0
 7  0  73220 629564  88804 2527892    0    0     0     0 4234 2279 88 12  0  0  0
 4  0  73220 944896  88828 2527760    0    0     0   132 4263 2350 98  2  0  0  0
 5  0  73220 629304  88828 2527760    0    0     0     0 4210 2163 98  2  0  0  0
 4  0  73220 629304  88828 2527760    0    0     0     0 4218 2112 100  0  0  0  0
 4  0  73220 629476  88828 2527760    0    0     0     0 4236 2410 100  0  0  0  0
 4  0  73220 629148  88844 2527744    0    0     0   104 4247 2204 100  0  0  0  0
 5  0  73220 629148  88844 2527800    0    0     0     0 4169 2074 100  0  0  0  0
 4  0  73220 629148  88844 2527800    0    0     0     0 4239 2283 100  0  0  0  0
 4  0  73220 629148  88844 2527796    0    0     0     0 4304 2372 99  1  0  0  0
 4  0  73220 624880  88844 2527800    0    0     0     0 4246 2350 100  0  0  0  0
 4  0  73220 624880  88844 2527800    0    0     0     0 4225 2281 100  0  0  0  0
 4  0  73220 624880  88852 2527800    0    0     0    76 4193 2294 100  1  0  0  0
 5  0  73220 625928  88852 2527968    0    0     0     0 4251 2198 100  1  0  0  0
 4  0  73220 628024  88852 2527800    0    0     0     0 4487 3042 99  1  0  0  0
 4  0  73220 630616  88852 2527812    0    0     0     0 4411 2930 99  1  0  0  0
 4  0  73220 632040  88852 2527816    0    0     0     0 4220 2194 100  0  0  0  0
