procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0 159960 423684  87944 2526364    0  609  8681   798 2230 3161 21 23 48  8  0
 9  0 402480 340140  87952 2526884    0 242684     0 242852 2922 3768 65 35  0  0  0
 4  0    320 2164408  87952 2526072    0 199852     0 200712 4337 3867 48 52  0  0  0
 6  0    320 741508  87952 2526072    0    0     0     0 5139 5410 58 42  0  0  0
 4  0    320 988320  87952 2525984    0    0     0     0 4499 3243 71 29  0  0  0
 4  0    320 1072696  87952 2523480    0    0     0     0 4280 2513 50 50  0  0  0
 4  0    320 493044  87952 2523480    0    0    40     4 5183 4171 75 26  0  0  0
 5  0  76176 644968  87960 2522528    0 75888     4 76020 5429 15255 69 31  0  0  0
 5  1 328240 736276  88248 2526480    0 251904   988 252416 4377 5758 51 49  0  0  0
 4  0 585208 617520  88664 2528484    0 256960   432 256960 4044 4002 55 45  0  0  0
 5  0    380 768116  88872 2530500    0 17532  3252 17876 5308 4904 74 26  0  0  0
 4  0    380 192500  88872 2530840    0    0     0     0 4645 3450 77 23  0  0  0
 4  0 271276 103608  88872 2531368    0 271056     0 271056 3938 2785 68 32  0  0  0
 8  0 556356 394172  88872 2528584    0 284920     0 284932 3635 2390 64 36  0  0  0
 5  0    504 188856  88872 2526484    0 46308     0 46308 4344 2814 90 10  0  0  0
 4  0    504 631444  88872 2526484    0    0     0     0 4257 2499 91  9  0  0  0
 4  0    504 265744  88884 2526488    0    0     0   104 4364 2821 89 11  0  0  0
 4  0    504 266700  88884 2526488    0    0     0     0 4234 2472 99  1  0  0  0
 4  0    504 261096  88884 2526492    0    0     0  2072 4785 3158 92  8  0  0  0
 5  0    504 260720  88884 2527376    0    0     0     0 4775 14574 97  3  0  0  0
 4  0    504 1301788  88884 2527376    0    0     0     0 4272 2359 95  5  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0    504 710216  88888 2527688    0    0   300   108 4340 2594 87 13  0  0  0
 5  0    504 920892  88892 2527688    0    0     0     0 4367 2670 95  5  0  0  0
 4  0    504 1002216  88892 2527584    0    0     0     4 4288 2504 92  8  0  0  0
 4  0    504 365164  88892 2527588    0    0     0     0 4133 2410 95  5  0  0  0
 4  0    504 365164  88892 2526708    0    0     0     0 4186 2327 99  1  0  0  0
 4  0    504 615432  88892 2526708    0    0     0     0 4146 2443 94  6  0  0  0
 5  0    504 921764  88900 2526704    0    0     0    88 4163 2591 90 10  0  0  0
 4  0    504 623732  88900 2526708    0    0     0     0 4127 2423 96  4  0  0  0
 5  0    504 365176  88900 2526708    0    0     0     0 4151 2369 91 10  0  0  0
 4  0    504 365176  88900 2526708    0    0     0     0 4174 2218 99  1  0  0  0
 4  0    504 365176  88900 2526708    0    0     0     0 4207 2446 100  0  0  0  0
 4  0    504 363412  88908 2526700    0    0     0    40 4204 2548 99  1  0  0  0
 4  0    504 864740  88908 2526696    0    0     0     0 4130 2472 97  3  0  0  0
 7  0    504 364772  88908 2526696    0    0     0     0 4092 2286 95  5  0  0  0
 4  0    504 356648  88908 2526700    0    0     0     0 4193 2555 99  1  0  0  0
 4  0    504 359068  88908 2526688    0    0     0     0 4524 3678 98  2  0  0  0
